,Año,Mes,defunciones_infantiles_hombre,defunciones_infantiles_mujer,No especificado,defunciones_infantiles_total
0,1990,Abril,39,33,0,72
1,1990,Agosto,65,59,0,124
2,1990,Diciembre,80,59,0,139
3,1990,Enero,58,57,0,115
4,1990,Febrero,53,33,0,86
5,1990,Julio,44,26,0,70
6,1990,Junio,53,36,0,89
7,1990,Marzo,58,38,0,96
8,1990,Mayo,53,27,0,80
10,1990,Noviembre,43,36,0,79
11,1990,Octubre,64,33,0,97
12,1990,Septiembre,47,40,0,87
14,1991,Abril,36,17,0,53
15,1991,Agosto,46,41,0,87
16,1991,Diciembre,77,50,2,129
17,1991,Enero,65,44,0,109
18,1991,Febrero,56,25,0,81
19,1991,Julio,42,27,0,69
20,1991,Junio,19,25,0,44
21,1991,Marzo,46,29,0,75
22,1991,Mayo,45,25,0,70
24,1991,Noviembre,45,47,0,92
25,1991,Octubre,43,30,0,73
26,1991,Septiembre,39,27,0,66
28,1992,Abril,37,35,0,72
29,1992,Agosto,56,28,0,84
30,1992,Diciembre,78,58,0,136
31,1992,Enero,76,46,0,122
32,1992,Febrero,49,41,0,90
33,1992,Julio,45,33,0,78
34,1992,Junio,57,36,0,93
35,1992,Marzo,45,34,0,79
36,1992,Mayo,48,31,0,79
38,1992,Noviembre,44,42,0,86
39,1992,Octubre,40,37,0,77
40,1992,Septiembre,45,32,0,77
42,1993,Abril,44,39,0,83
43,1993,Agosto,35,25,0,60
44,1993,Diciembre,70,43,0,113
45,1993,Enero,60,33,0,93
46,1993,Febrero,41,31,0,72
47,1993,Julio,35,27,1,63
48,1993,Junio,35,27,0,62
49,1993,Marzo,42,32,1,75
50,1993,Mayo,28,32,0,60
52,1993,Noviembre,53,38,0,91
53,1993,Octubre,40,36,0,76
54,1993,Septiembre,38,37,0,75
56,1994,Abril,32,20,0,52
57,1994,Agosto,41,29,0,70
58,1994,Diciembre,60,62,0,122
59,1994,Enero,64,41,0,105
60,1994,Febrero,41,32,0,73
61,1994,Julio,40,23,0,63
62,1994,Junio,34,39,0,73
63,1994,Marzo,26,30,0,56
64,1994,Mayo,38,19,0,57
66,1994,Noviembre,55,34,0,89
67,1994,Octubre,41,44,0,85
68,1994,Septiembre,60,39,0,99
70,1995,Abril,38,25,0,63
71,1995,Agosto,36,24,0,60
72,1995,Diciembre,60,43,0,103
73,1995,Enero,46,40,0,86
74,1995,Febrero,37,26,0,63
75,1995,Julio,39,37,0,76
76,1995,Junio,34,23,0,57
77,1995,Marzo,33,17,0,50
78,1995,Mayo,24,19,0,43
80,1995,Noviembre,37,29,0,66
81,1995,Octubre,47,30,0,77
82,1995,Septiembre,34,37,0,71
84,1996,Abril,36,18,0,54
85,1996,Agosto,32,27,0,59
86,1996,Diciembre,60,47,1,108
87,1996,Enero,64,51,0,115
88,1996,Febrero,48,39,0,87
89,1996,Julio,36,22,0,58
90,1996,Junio,39,29,0,68
91,1996,Marzo,33,31,0,64
92,1996,Mayo,29,19,0,48
94,1996,Noviembre,42,34,0,76
95,1996,Octubre,22,32,0,54
96,1996,Septiembre,36,26,0,62
98,1997,Abril,31,20,0,51
99,1997,Agosto,40,32,0,72
100,1997,Diciembre,67,61,0,128
101,1997,Enero,50,45,0,95
102,1997,Febrero,37,21,0,58
103,1997,Julio,40,28,0,68
104,1997,Junio,32,23,0,55
105,1997,Marzo,44,19,0,63
106,1997,Mayo,36,36,0,72
108,1997,Noviembre,44,36,0,80
