cve_municipio,desc_municipio,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Aconchi,,68.0,59.0,75.0,63.0,66.0,86.0,77.0,69.0,63.0,57.0,56.0,40.0,44.0,52.0,39.0,40.0,36.0,46.0,46.0,37.0,33.0,40.0,43.0,26.0,38.0,34.0,29.0
2,Agua Prieta,,1589.0,1665.0,1721.0,1723.0,1801.0,1900.0,1860.0,1937.0,1860.0,1628.0,1691.0,1550.0,1590.0,1665.0,1686.0,1541.0,1673.0,1709.0,1886.0,1769.0,1575.0,1473.0,1400.0,1466.0,1477.0,1492.0,955.0
3,Alamos,,674.0,575.0,732.0,579.0,615.0,698.0,633.0,667.0,653.0,710.0,684.0,563.0,475.0,613.0,645.0,523.0,614.0,613.0,527.0,544.0,473.0,443.0,428.0,391.0,344.0,354.0,291.0
4,Altar,,151.0,176.0,172.0,198.0,208.0,212.0,238.0,245.0,231.0,236.0,255.0,234.0,261.0,254.0,242.0,253.0,251.0,208.0,227.0,233.0,213.0,181.0,165.0,190.0,169.0,171.0,115.0
5,Arivechi,,82.0,30.0,23.0,46.0,35.0,22.0,34.0,25.0,22.0,19.0,24.0,21.0,30.0,12.0,17.0,17.0,13.0,15.0,22.0,17.0,17.0,14.0,19.0,13.0,18.0,16.0,6.0
6,Arizpe,,109.0,86.0,88.0,110.0,107.0,99.0,128.0,69.0,65.0,68.0,39.0,64.0,53.0,59.0,46.0,52.0,51.0,52.0,50.0,38.0,48.0,33.0,42.0,29.0,33.0,40.0,16.0
7,Atil,,20.0,52.0,17.0,19.0,15.0,14.0,23.0,24.0,20.0,18.0,19.0,20.0,12.0,16.0,18.0,20.0,13.0,19.0,12.0,11.0,6.0,8.0,13.0,6.0,2.0,7.0,5.0
8,Bacadéhuachi,,27.0,23.0,19.0,27.0,31.0,28.0,39.0,20.0,31.0,18.0,21.0,23.0,19.0,22.0,27.0,19.0,21.0,21.0,18.0,13.0,11.0,15.0,14.0,6.0,12.0,10.0,11.0
9,Bacanora,,17.0,17.0,26.0,15.0,23.0,19.0,21.0,18.0,24.0,10.0,14.0,16.0,11.0,9.0,12.0,11.0,16.0,10.0,17.0,14.0,10.0,12.0,11.0,13.0,8.0,10.0,6.0
10,Bacerac,,41.0,43.0,42.0,46.0,43.0,42.0,44.0,31.0,20.0,24.0,26.0,25.0,24.0,26.0,25.0,24.0,17.0,21.0,20.0,23.0,25.0,17.0,21.0,17.0,19.0,12.0,14.0
11,Bacoachi,,40.0,32.0,40.0,39.0,49.0,36.0,42.0,36.0,30.0,17.0,22.0,29.0,17.0,28.0,17.0,32.0,23.0,21.0,27.0,20.0,29.0,25.0,19.0,15.0,17.0,17.0,14.0
12,Bácum,,682.0,519.0,516.0,535.0,509.0,512.0,532.0,495.0,498.0,507.0,473.0,451.0,475.0,515.0,487.0,486.0,470.0,498.0,489.0,475.0,477.0,414.0,359.0,384.0,356.0,365.0,282.0
13,Banámichi,,44.0,33.0,42.0,37.0,33.0,41.0,40.0,43.0,40.0,32.0,21.0,33.0,34.0,31.0,31.0,24.0,31.0,26.0,22.0,29.0,19.0,28.0,20.0,39.0,20.0,29.0,22.0
14,Baviácora,,125.0,88.0,93.0,82.0,86.0,97.0,82.0,92.0,78.0,78.0,73.0,75.0,78.0,71.0,70.0,56.0,59.0,51.0,52.0,47.0,48.0,43.0,50.0,34.0,37.0,36.0,36.0
15,Bavispe,,28.0,26.0,28.0,19.0,21.0,25.0,40.0,26.0,24.0,22.0,24.0,33.0,32.0,21.0,21.0,22.0,33.0,33.0,27.0,27.0,28.0,30.0,25.0,28.0,13.0,21.0,25.0
16,Benjamín Hill,,175.0,159.0,165.0,159.0,160.0,154.0,155.0,110.0,125.0,115.0,116.0,119.0,111.0,122.0,100.0,108.0,104.0,102.0,119.0,101.0,97.0,93.0,82.0,89.0,85.0,65.0,43.0
17,Caborca,,1823.0,1702.0,1776.0,1775.0,1715.0,1669.0,1830.0,1802.0,1681.0,1720.0,1746.0,1746.0,1714.0,1771.0,1842.0,1746.0,1913.0,1884.0,1856.0,1796.0,1871.0,1627.0,1602.0,1509.0,1439.0,1543.0,844.0
