index,cve_municipio,municipio,año,nacimientos
17,18,Cajeme,1990,
28,29,Guaymas,1990,
29,30,Hermosillo,1990,
41,42,Navojoa,1990,
42,43,Nogales,1990,
90,18,Cajeme,1994,9114.0
101,29,Guaymas,1994,3409.0
102,30,Hermosillo,1994,14921.0
114,42,Navojoa,1994,3421.0
115,43,Nogales,1994,4058.0
163,18,Cajeme,1995,8985.0
174,29,Guaymas,1995,3652.0
175,30,Hermosillo,1995,14683.0
187,42,Navojoa,1995,3612.0
188,43,Nogales,1995,4340.0
236,18,Cajeme,1996,8679.0
247,29,Guaymas,1996,3645.0
248,30,Hermosillo,1996,14502.0
260,42,Navojoa,1996,3612.0
261,43,Nogales,1996,4563.0
309,18,Cajeme,1997,8429.0
320,29,Guaymas,1997,3736.0
321,30,Hermosillo,1997,14653.0
333,42,Navojoa,1997,3615.0
334,43,Nogales,1997,4527.0
382,18,Cajeme,1998,8715.0
393,29,Guaymas,1998,3234.0
394,30,Hermosillo,1998,15010.0
406,42,Navojoa,1998,3439.0
407,43,Nogales,1998,4693.0
455,18,Cajeme,1999,8802.0
466,29,Guaymas,1999,3456.0
467,30,Hermosillo,1999,14750.0
479,42,Navojoa,1999,3832.0
480,43,Nogales,1999,5009.0
528,18,Cajeme,2000,8948.0
539,29,Guaymas,2000,3766.0
540,30,Hermosillo,2000,15311.0
552,42,Navojoa,2000,4080.0
553,43,Nogales,2000,5173.0
601,18,Cajeme,2001,8668.0
612,29,Guaymas,2001,3335.0
613,30,Hermosillo,2001,15167.0
625,42,Navojoa,2001,3759.0
626,43,Nogales,2001,5345.0
674,18,Cajeme,2002,8608.0
685,29,Guaymas,2002,3344.0
686,30,Hermosillo,2002,15351.0
698,42,Navojoa,2002,3724.0
699,43,Nogales,2002,5098.0
747,18,Cajeme,2003,8205.0
758,29,Guaymas,2003,3705.0
759,30,Hermosillo,2003,14671.0
771,42,Navojoa,2003,3478.0
772,43,Nogales,2003,4895.0
820,18,Cajeme,2004,7999.0
831,29,Guaymas,2004,2939.0
832,30,Hermosillo,2004,14712.0
844,42,Navojoa,2004,3358.0
845,43,Nogales,2004,4893.0
893,18,Cajeme,2005,7708.0
904,29,Guaymas,2005,2937.0
905,30,Hermosillo,2005,14649.0
917,42,Navojoa,2005,3479.0
918,43,Nogales,2005,4968.0
966,18,Cajeme,2006,7916.0
977,29,Guaymas,2006,2906.0
978,30,Hermosillo,2006,14857.0
990,42,Navojoa,2006,3321.0
991,43,Nogales,2006,4858.0
1039,18,Cajeme,2007,7766.0
1050,29,Guaymas,2007,2963.0
1051,30,Hermosillo,2007,16030.0
1063,42,Navojoa,2007,3419.0
1064,43,Nogales,2007,5100.0
1112,18,Cajeme,2008,7727.0
1123,29,Guaymas,2008,2985.0
1124,30,Hermosillo,2008,15943.0
1136,42,Navojoa,2008,3285.0
1137,43,Nogales,2008,5288.0
1185,18,Cajeme,2009,8011.0
1196,29,Guaymas,2009,2905.0
1197,30,Hermosillo,2009,15913.0
1209,42,Navojoa,2009,2982.0
1210,43,Nogales,2009,4899.0
1258,18,Cajeme,2010,7804.0
1269,29,Guaymas,2010,3065.0
1270,30,Hermosillo,2010,15916.0
1282,42,Navojoa,2010,3169.0
1283,43,Nogales,2010,4746.0
1331,18,Cajeme,2011,7833.0
1342,29,Guaymas,2011,3057.0
1343,30,Hermosillo,2011,16445.0
1355,42,Navojoa,2011,3049.0
1356,43,Nogales,2011,4975.0
1404,18,Cajeme,2012,7824.0
1415,29,Guaymas,2012,3066.0
1416,30,Hermosillo,2012,15879.0
1428,42,Navojoa,2012,2918.0
1429,43,Nogales,2012,4774.0
1477,18,Cajeme,2013,7635.0
1488,29,Guaymas,2013,3040.0
1489,30,Hermosillo,2013,16322.0
1501,42,Navojoa,2013,2831.0
1502,43,Nogales,2013,4384.0
1550,18,Cajeme,2014,7523.0
1561,29,Guaymas,2014,3017.0
1562,30,Hermosillo,2014,16053.0
1574,42,Navojoa,2014,2694.0
1575,43,Nogales,2014,4342.0
1623,18,Cajeme,2015,6949.0
1634,29,Guaymas,2015,2869.0
1635,30,Hermosillo,2015,14903.0
1647,42,Navojoa,2015,2777.0
1648,43,Nogales,2015,4216.0
1696,18,Cajeme,2016,6794.0
1707,29,Guaymas,2016,2719.0
1708,30,Hermosillo,2016,14204.0
1720,42,Navojoa,2016,2750.0
1721,43,Nogales,2016,4007.0
1769,18,Cajeme,2017,6610.0
1780,29,Guaymas,2017,2679.0
1781,30,Hermosillo,2017,13857.0
1793,42,Navojoa,2017,2717.0
1794,43,Nogales,2017,4001.0
1842,18,Cajeme,2018,6238.0
1853,29,Guaymas,2018,2507.0
1854,30,Hermosillo,2018,13166.0
1866,42,Navojoa,2018,2499.0
1867,43,Nogales,2018,3732.0
1915,18,Cajeme,2019,6248.0
1926,29,Guaymas,2019,2480.0
1927,30,Hermosillo,2019,13314.0
1939,42,Navojoa,2019,2542.0
1940,43,Nogales,2019,3903.0
1988,18,Cajeme,2020,4524.0
1999,29,Guaymas,2020,1609.0
2000,30,Hermosillo,2020,8841.0
2012,42,Navojoa,2020,2107.0
2013,43,Nogales,2020,2797.0
