cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
26,Sonora,0,Estatal,1002000030,Defunciones generales,1994,9919,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,1995,10130,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,1996,10454,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,1997,10797,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,1998,10491,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,1999,10730,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2000,10468,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2001,10812,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2002,10995,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2003,11697,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2004,11723,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2005,12401,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2006,12241,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2007,12449,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2008,13210,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2009,13941,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2010,14916,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2011,14752,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2012,15001,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2013,15451,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2014,16041,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2015,16507,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2016,16807,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2017,16729,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2018,17644,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2019,18485,Defunciones
26,Sonora,0,Estatal,1002000030,Defunciones generales,2020,27814,Defunciones
26,Sonora,0,Estatal,1002000031,Defunciones generales hombres,1994,5875,Defunciones
26,Sonora,0,Estatal,1002000031,Defunciones generales hombres,1995,6054,Defunciones
26,Sonora,0,Estatal,1002000031,Defunciones generales hombres,1996,6253,Defunciones
26,Sonora,0,Estatal,1002000031,Defunciones generales hombres,1997,6490,Defunciones
