cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
26,Sonora,0,Estatal,1002000001,Población total,1910,265383,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1921,275127,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1930,316271,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1940,364176,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1950,510607,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1960,783378,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1970,1098720,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1980,1513731,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1990,1823606,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,1995,2085536,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,2000,2216969,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,2005,2394861,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,2010,2662480,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,2015,2874391,Número de personas
26,Sonora,0,Estatal,1002000001,Población total,2020,2944840,Número de personas
26,Sonora,0,Estatal,1002000002,Población total hombres,1995,1048933,Número de personas
26,Sonora,0,Estatal,1002000002,Población total hombres,2000,1110590,Número de personas
26,Sonora,0,Estatal,1002000002,Población total hombres,2005,1198154,Número de personas
26,Sonora,0,Estatal,1002000002,Población total hombres,2010,1339612,Número de personas
26,Sonora,0,Estatal,1002000002,Población total hombres,2020,1472197,Número de personas
26,Sonora,0,Estatal,1002000003,Población total mujeres,1995,1036603,Número de personas
26,Sonora,0,Estatal,1002000003,Población total mujeres,2000,1106379,Número de personas
26,Sonora,0,Estatal,1002000003,Población total mujeres,2005,1196707,Número de personas
26,Sonora,0,Estatal,1002000003,Población total mujeres,2010,1322868,Número de personas
26,Sonora,0,Estatal,1002000003,Población total mujeres,2020,1472643,Número de personas
26,Sonora,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,30,No especificada
26,Sonora,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.4,No especificada
26,Sonora,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.3,No especificada
26,Sonora,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,26,No especificada
26,Sonora,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,25.3255237112896,No especificada
26,Sonora,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,29.9,No especificada
26,Sonora,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,28.3,No especificada
26,Sonora,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,26.3,No especificada
26,Sonora,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,26.3,No especificada
26,Sonora,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,12.5571425063063,No especificada
26,Sonora,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,30.1,No especificada
26,Sonora,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,28.5,No especificada
26,Sonora,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,26.3,No especificada
26,Sonora,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,25.7,No especificada
26,Sonora,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,12.7683812049833,No especificada
26,Sonora,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,6.5,No especificada
26,Sonora,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,7.2,No especificada
26,Sonora,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,8.2,No especificada
26,Sonora,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2010,8.8,No especificada
26,Sonora,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2015,10.049222370743,No especificada
26,Sonora,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,1995,6.5,No especificada
26,Sonora,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2000,7,No especificada
26,Sonora,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2005,8,No especificada
26,Sonora,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2010,8.4,No especificada
26,Sonora,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2015,4.80839060740335,No especificada
26,Sonora,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,1995,6.6,No especificada
26,Sonora,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2000,7.3,No especificada
26,Sonora,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2005,8.4,No especificada
26,Sonora,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2010,9.2,No especificada
26,Sonora,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2015,5.24083176333968,No especificada
26,Sonora,0,Estatal,1002000010,Edad mediana,1995,22,Años
26,Sonora,0,Estatal,1002000010,Edad mediana,2000,23,Años
26,Sonora,0,Estatal,1002000010,Edad mediana,2005,25,Años
26,Sonora,0,Estatal,1002000010,Edad mediana,2010,26,Años
26,Sonora,0,Estatal,1002000010,Edad mediana,2015,27.159688,Años
26,Sonora,0,Estatal,1002000010,Edad mediana,2020,30,Años
26,Sonora,0,Estatal,1002000011,Edad mediana hombres,1995,22,No especificada
