,Municipio,Sexo,Edad desplegada,Población de 6 a 14 años,Sabe leer y escribir,No sabe leer y escribir,No especificado
43,Aconchi,Hombres,06 años,20.0,8,12,0
44,Aconchi,Hombres,07 años,23.0,18,5,0
45,Aconchi,Hombres,08 años,21.0,20,1,0
46,Aconchi,Hombres,09 años,18.0,17,1,0
47,Aconchi,Hombres,10 años,30.0,30,0,0
48,Aconchi,Hombres,11 años,20.0,20,0,0
49,Aconchi,Hombres,12 años,30.0,30,0,0
50,Aconchi,Hombres,13 años,16.0,15,0,1
51,Aconchi,Hombres,14 años,25.0,25,0,0
53,Aconchi,Mujeres,06 años,10.0,5,5,0
54,Aconchi,Mujeres,07 años,18.0,16,2,0
55,Aconchi,Mujeres,08 años,15.0,13,2,0
56,Aconchi,Mujeres,09 años,24.0,24,0,0
57,Aconchi,Mujeres,10 años,21.0,21,0,0
58,Aconchi,Mujeres,11 años,19.0,19,0,0
59,Aconchi,Mujeres,12 años,29.0,29,0,0
60,Aconchi,Mujeres,13 años,19.0,19,0,0
61,Aconchi,Mujeres,14 años,16.0,16,0,0
73,Agua Prieta,Hombres,06 años,842.0,314,527,1
74,Agua Prieta,Hombres,07 años,955.0,713,234,8
75,Agua Prieta,Hombres,08 años,867.0,773,85,9
76,Agua Prieta,Hombres,09 años,812.0,757,47,8
77,Agua Prieta,Hombres,10 años,906.0,874,22,10
78,Agua Prieta,Hombres,11 años,871.0,852,16,3
79,Agua Prieta,Hombres,12 años,971.0,962,7,2
80,Agua Prieta,Hombres,13 años,916.0,901,9,6
81,Agua Prieta,Hombres,14 años,912.0,910,2,0
83,Agua Prieta,Mujeres,06 años,870.0,366,500,4
84,Agua Prieta,Mujeres,07 años,930.0,729,201,0
85,Agua Prieta,Mujeres,08 años,818.0,741,68,9
86,Agua Prieta,Mujeres,09 años,807.0,775,26,6
87,Agua Prieta,Mujeres,10 años,860.0,837,15,8
88,Agua Prieta,Mujeres,11 años,814.0,807,2,5
89,Agua Prieta,Mujeres,12 años,896.0,889,4,3
90,Agua Prieta,Mujeres,13 años,908.0,900,1,7
91,Agua Prieta,Mujeres,14 años,868.0,866,0,2
103,Alamos,Hombres,06 años,226.0,87,139,0
104,Alamos,Hombres,07 años,233.0,169,62,2
105,Alamos,Hombres,08 años,233.0,204,22,7
106,Alamos,Hombres,09 años,238.0,232,5,1
107,Alamos,Hombres,10 años,235.0,232,3,0
108,Alamos,Hombres,11 años,208.0,208,0,0
109,Alamos,Hombres,12 años,264.0,260,4,0
110,Alamos,Hombres,13 años,237.0,230,6,1
111,Alamos,Hombres,14 años,232.0,231,1,0
113,Alamos,Mujeres,06 años,259.0,110,148,1
