Municipio,porcentaje_analfabetismo_total,porcentaje_analfabetismo_hombres_total,porcentaje_analfabetismo_mujeres_total,"('porcentaje analfabetismo 06 años', 'Hombres')","('porcentaje analfabetismo 06 años', 'Mujeres')","('porcentaje analfabetismo 07 años', 'Hombres')","('porcentaje analfabetismo 07 años', 'Mujeres')","('porcentaje analfabetismo 08 años', 'Hombres')","('porcentaje analfabetismo 08 años', 'Mujeres')","('porcentaje analfabetismo 09 años', 'Hombres')","('porcentaje analfabetismo 09 años', 'Mujeres')","('porcentaje analfabetismo 10 años', 'Hombres')","('porcentaje analfabetismo 10 años', 'Mujeres')","('porcentaje analfabetismo 11 años', 'Hombres')","('porcentaje analfabetismo 11 años', 'Mujeres')","('porcentaje analfabetismo 12 años', 'Hombres')","('porcentaje analfabetismo 12 años', 'Mujeres')","('porcentaje analfabetismo 13 años', 'Hombres')","('porcentaje analfabetismo 13 años', 'Mujeres')","('porcentaje analfabetismo 14 años', 'Hombres')","('porcentaje analfabetismo 14 años', 'Mujeres')"
Aconchi,7.4866310160427805,9.35960591133005,5.263157894736842,60.0,50.0,21.73913043478261,11.11111111111111,4.761904761904762,13.333333333333334,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agua Prieta,11.160968210832332,11.785891703924491,10.513447432762836,62.589073634204276,57.47126436781609,24.50261780104712,21.612903225806452,9.803921568627452,8.312958435207824,5.788177339901478,3.2218091697645597,2.4282560706401766,1.744186046511628,1.8369690011481057,0.2457002457002457,0.7209062821833162,0.4464285714285714,0.9825327510917031,0.11013215859030838,0.21929824561403508,0.0
Alamos,11.556545409552092,11.490978157644824,11.627906976744185,61.504424778761056,57.14285714285714,26.609442060085836,20.57142857142857,9.44206008583691,11.11111111111111,2.100840336134454,3.1088082901554404,1.276595744680851,1.694915254237288,0.0,1.8518518518518516,1.5151515151515151,1.276595744680851,2.5316455696202533,0.0,0.43103448275862066,0.0
Altar,11.174785100286533,11.353211009174311,10.996563573883162,54.94505494505495,57.009345794392516,22.22222222222222,21.568627450980394,13.829787234042554,7.142857142857142,8.791208791208792,3.125,0.0,0.9615384615384616,4.25531914893617,0.0,0.847457627118644,2.2988505747126435,0.9523809523809524,0.9433962264150944,0.0,0.0
Arivechi,5.46448087431694,5.617977528089887,5.319148936170213,50.0,12.5,0.0,33.33333333333333,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizpe,12.469437652811736,13.725490196078432,11.219512195121952,94.44444444444444,68.0,42.10526315789473,16.666666666666664,10.0,13.043478260869565,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atil,4.651162790697675,7.5,2.1739130434782608,100.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacadéhuachi,5.223880597014925,3.79746835443038,7.2727272727272725,50.0,66.66666666666666,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacanora,8.0,8.333333333333332,7.5,50.0,16.666666666666664,14.285714285714285,25.0,11.11111111111111,0.0,20.0,14.285714285714285,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacerac,7.065217391304348,9.411764705882353,5.05050505050505,63.63636363636363,40.0,0.0,12.5,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
